Timestamp,Rede,Token,Cotação USD,Cotação BRL,Função,Gas Usado,Preço do Gas (em gwei),Custo (token),USD,BRL
2025-08-14T18:00:07.444Z,BNB Chain,BNB Chain,833.2500,4517.1900,setPreco,26641,0.1,0.0000026641,0.0022,0.0120
2025-08-14T18:00:07.446Z,Polygon,Polygon,0.2376,1.2900,setPreco,26641,25.000000254,0.000666025006766814,0.0002,0.0009
2025-08-14T19:00:07.412Z,Ethereum,ethereum,4540.8100,24568.0000,Deploy,519148,1.019758577,0.000529405625732396,2.4039,13.0064
2025-08-14T19:00:07.427Z,BNB Chain,binancecoin,839.8000,4543.8000,Deploy,519148,0.1,0.0000519148,0.0436,0.2359
2025-08-14T19:00:07.430Z,Polygon,matic-network,0.2367,1.2800,Deploy,519148,26.054000099,0.013525882043395652,0.0032,0.0173
2025-08-14T19:00:07.473Z,Ethereum,Ethereum,4540.8100,24568.0000,setNome,28132,1.019758577,0.000028687848288164,0.1303,0.7048
2025-08-14T19:00:07.475Z,BNB Chain,BNB Chain,839.8000,4543.8000,setNome,28132,0.1,0.0000028132,0.0024,0.0128
2025-08-14T19:00:07.476Z,Polygon,Polygon,0.2367,1.2800,setNome,28132,26.054000099,0.000732951130785068,0.0002,0.0009
2025-08-14T19:00:07.509Z,Ethereum,Ethereum,4540.8100,24568.0000,setPreco,26641,1.019758577,0.000027167388249857,0.1234,0.6674
2025-08-14T19:00:07.510Z,BNB Chain,BNB Chain,839.8000,4543.8000,setPreco,26641,0.1,0.0000026641,0.0022,0.0121
2025-08-14T19:00:07.511Z,Polygon,Polygon,0.2367,1.2800,setPreco,26641,26.054000099,0.000694104616637459,0.0002,0.0009
2025-08-14T20:00:10.135Z,Ethereum,ethereum,4548.6300,24637.0000,Deploy,519148,0.573049729,0.000297497620710892,1.3532,7.3294
2025-08-14T20:00:10.141Z,BNB Chain,binancecoin,840.8100,4554.0900,Deploy,519148,0.1,0.0000519148,0.0437,0.2364
