Timestamp,Rede,Token,Cotação USD,Cotação BRL,Preço do Gas (gwei)
2025-09-05T11:00:10.065Z,Polygon,matic-network,"0,2843","1,5500","61,864233475"
2025-09-05T11:15:08.602Z,Ethereum,ethereum,"4408,5500","24020,0000","0,307879659"
2025-09-05T11:15:09.714Z,BNB Chain,binancecoin,"849,9200","4630,7200","0,1"
2025-09-05T11:15:10.408Z,Polygon,matic-network,"0,2837","1,5500","74,504465757"
2025-09-05T11:30:08.187Z,Ethereum,ethereum,"4418,5000","24069,0000","0,312055833"
2025-09-05T11:30:09.252Z,BNB Chain,binancecoin,"850,0900","4630,7900","0,1"
2025-09-05T11:30:09.986Z,Polygon,matic-network,"0,2835","1,5400","66,03846419"
2025-09-05T11:45:09.319Z,Ethereum,ethereum,"4420,2200","24079,0000","0,329649631"
2025-09-05T11:45:10.836Z,BNB Chain,binancecoin,"850,5600","4633,3600","0,1"
2025-09-05T11:45:11.552Z,Polygon,matic-network,"0,2838","1,5500","60,852386782"
2025-09-05T12:00:08.762Z,Ethereum,ethereum,"4417,4700","24068,0000","0,35294827"
2025-09-05T12:00:09.956Z,BNB Chain,binancecoin,"850,7600","4635,1900","0,1"
2025-09-05T12:00:10.668Z,Polygon,matic-network,"0,2845","1,5500","68,469835811"
2025-09-05T12:15:08.618Z,Ethereum,ethereum,"4418,0700","23966,0000","0,315534163"
2025-09-05T12:15:10.063Z,BNB Chain,binancecoin,"850,6700","4614,4900","0,1"
2025-09-05T12:15:10.679Z,Polygon,matic-network,"0,2841","1,5400","76,147167556"
2025-09-05T12:30:07.882Z,Ethereum,ethereum,"4439,4300","24055,0000","0,446006796"
2025-09-05T12:30:08.878Z,BNB Chain,binancecoin,"851,5400","4614,0900","0,1"
2025-09-05T12:30:09.514Z,Polygon,matic-network,"0,2846","1,5400","80,19270476"
2025-09-05T12:45:09.674Z,Ethereum,ethereum,"4432,6200","23978,0000","0,973336435"
2025-09-05T12:45:11.020Z,BNB Chain,binancecoin,"851,3400","4605,3700","0,1"
2025-09-05T12:45:11.730Z,Polygon,matic-network,"0,2852","1,5400","142,988806648"
2025-09-05T13:00:09.614Z,Ethereum,ethereum,"4464,8000","24134,0000","1,338117062"
2025-09-05T13:00:10.677Z,BNB Chain,binancecoin,"853,7600","4614,8300","0,1"
2025-09-05T13:00:11.394Z,Polygon,matic-network,"0,2871","1,5500","121,693065498"
2025-09-05T13:15:11.073Z,Ethereum,ethereum,"4461,8400","24088,0000","1,135358152"
2025-09-05T13:15:12.201Z,BNB Chain,binancecoin,"855,0700","4616,1600","0,1"
2025-09-05T13:15:12.902Z,Polygon,matic-network,"0,2863","1,5500","96,940108642"
2025-09-05T13:30:08.363Z,Ethereum,ethereum,"4467,5100","24108,0000","1,185242509"
2025-09-05T13:30:09.552Z,BNB Chain,binancecoin,"855,8700","4618,6300","0,1"
2025-09-05T13:30:12.142Z,Polygon,matic-network,"0,2867","1,5500","102,211922444"
2025-09-05T13:45:09.943Z,Ethereum,ethereum,"4457,7000","24002,0000","0,99809368"
2025-09-05T13:45:11.535Z,BNB Chain,binancecoin,"856,2700","4610,4300","0,1"
2025-09-05T13:45:12.264Z,Polygon,matic-network,"0,2870","1,5500","121,028284127"
2025-09-05T14:00:08.242Z,Ethereum,ethereum,"4441,7600","23926,0000","1,052919306"
2025-09-05T14:00:09.417Z,BNB Chain,binancecoin,"856,2800","4612,4200","0,1"
2025-09-05T14:00:10.089Z,Polygon,matic-network,"0,2866","1,5400","132,877667472"
2025-09-05T14:15:09.080Z,Ethereum,ethereum,"4408,2200","23756,0000","1,339011128"
2025-09-05T14:15:10.892Z,BNB Chain,binancecoin,"853,2500","4598,1800","0,1"
2025-09-05T14:15:11.122Z,Polygon,matic-network,"0,2846","1,5300","147,183376109"
2025-09-05T14:30:08.716Z,Ethereum,ethereum,"4325,9300","23366,0000","1,986753747"
2025-09-05T14:30:09.707Z,BNB Chain,binancecoin,"847,2800","4576,5100","0,1"
2025-09-05T14:30:12.319Z,Polygon,matic-network,"0,2795","1,5100","214,989707081"
2025-09-05T14:45:09.621Z,Ethereum,ethereum,"4293,9800","23252,0000","1,737117487"
2025-09-05T14:45:11.182Z,BNB Chain,binancecoin,"847,2100","4587,7500","0,1"
2025-09-05T14:45:11.780Z,Polygon,matic-network,"0,2780","1,5100","179,578126101"
