Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar,Obrigatorio
"Agave, sisal (folha)",Agricultura,1678,10,8,0,1331,8,7,0,12794,0,0,0,9115,0,0,0,0
Algodão arbóreo,Agricultura,5502,39,28,0,4343,30,21,0,25,0,0,0,22,0,0,0,0
Ameixa,Agricultura,104067,88741,58964,5,86279,75555,51273,3,68718,51595,31024,1,33866,28951,20961,0,1
Amora (folha),Agricultura,7985,3390,1110,0,6155,2962,925,0,20087,19256,28,0,19225,18625,1,0,0
Amora (fruto),Agricultura,57516,21334,13360,1,42896,17616,11369,1,8072,4704,3577,0,4463,3516,2883,0,1
Atemoia,Agricultura,2792,438,204,0,1848,336,169,0,18783,293,36,0,5234,284,1,0,1
Azeitona (oliveira),Agricultura,4407,386,281,3,3260,202,139,1,1316,957,947,0,303,200,200,0,0
Banana,Agricultura,650445,114869,62002,5,518873,97745,54698,2,3082445,485513,81852,0,1457265,350702,76272,0,1
Borracha (látex coagulado),Agricultura,14874,33,5,0,9748,21,4,0,247992,173,0,0,153537,46,0,0,0
Borracha (látex líquido),Agricultura,1648,23,2,0,1102,15,2,0,12985,322,0,0,2238,67,0,0,0
Cacau (amêndoa),Agricultura,125934,43,11,0,101205,37,10,0,1055555,1,0,0,589642,0,0,0,1
Café arábica em grão (verde),Agricultura,226125,12015,94,0,173934,9584,75,0,10099264,193647,0,0,3485010,117940,0,0,0
"Café canephora (robusta, conilon) em grão (verde)",Agricultura,81670,504,37,0,65709,393,29,0,2151526,5844,0,0,1064683,2316,0,0,0
Caju (castanha),Agricultura,143713,197,58,0,116281,148,47,0,183900,3,1,0,117439,1,1,0,0
Caju (fruto),Agricultura,295939,596,27,0,230040,408,23,0,36045,2,0,0,24388,2,0,0,1
Camu-camu,Agricultura,507,23,9,0,396,17,8,0,89,0,0,0,28,0,0,0,0
Caqui,Agricultura,91953,84287,61209,5,76890,71925,52933,2,65220,36770,28729,0,30202,21301,19221,0,1
Carambola,Agricultura,34603,6535,3019,0,25104,5189,2496,0,793,86,19,0,395,18,10,0,1
Chá-da-Índia,Agricultura,281,16,4,0,190,8,3,0,2807,2795,0,0,8,0,0,0,0
Coco-da-baía,Agricultura,321117,1308,12,0,244440,882,9,0,554454,652,0,0,156885,324,0,0,1
Cravo-da-Índia,Agricultura,15272,52,8,0,12472,38,6,0,32569,0,0,0,27124,0,0,0,0
Cupuaçu,Agricultura,73956,39,7,0,62097,25,6,0,29533,0,0,0,20025,0,0,0,1
Dendê (coco),Agricultura,9107,25,7,0,7114,16,6,0,164041,0,0,0,14957,0,0,0,0
Erva-mate,Agricultura,26520,26317,10664,1,21741,21600,9296,1,168688,167903,98656,0,118661,118567,83472,0,0
Figo,Agricultura,91046,78938,61302,14,76092,67841,53274,12,16339,5846,5505,0,8440,5008,4690,0,1
Fruta-de-conde,Agricultura,57142,10289,4566,0,43808,8441,3943,0,20336,232,176,0,11028,45,20,0,1
Goiaba,Agricultura,384856,82186,51255,8,299374,69294,44329,5,108863,11260,2213,0,60374,6540,1843,0,1
Graviola,Agricultura,113168,2231,634,0,87008,1725,510,0,21818,4,1,0,13170,1,1,0,1
Guaraná,Agricultura,10985,111,53,0,9496,84,44,0,13867,0,0,0,11512,0,0,0,0
Jabuticaba,Agricultura,169426,58798,23986,2,129109,48942,20597,1,10658,524,171,0,3237,426,121,0,0
Jaca,Agricultura,151488,2268,265,0,117459,1639,217,0,7434,20,0,0,6125,14,0,0,0
Jambo,Agricultura,49137,391,73,0,37646,280,57,0,216,0,0,0,201,0,0,0,0
kiwi,Agricultura,3894,3476,2694,0,2947,2723,2166,0,11205,11118,4244,0,3798,3731,3316,0,1
Laranja,Agricultura,629172,197728,132855,89,497698,167581,114892,65,4869732,432859,99486,200,481321,102097,64829,195,1
Lichia,Agricultura,10547,2412,358,0,6690,1731,268,0,22946,3252,5,0,8819,1913,1,0,0
Lima,Agricultura,40206,24073,16280,0,32242,20314,13865,0,3243,292,285,0,1858,36,33,0,1
Limão,Agricultura,487114,152282,97092,17,383591,128504,83722,13,562436,12914,7255,3,206677,10412,6001,3,1
Louro (folha),Agricultura,4316,3224,2017,0,3343,2597,1656,0,524,57,54,0,440,0,0,0,0
Maçã,Agricultura,20047,14839,8038,2,15343,11815,6610,2,1206575,1199094,615135,0,166925,166494,43476,0,1
Mamão,Agricultura,269863,43827,19114,2,209887,37109,16883,2,556079,109,9,0,56791,92,5,0,1
Manga,Agricultura,508498,40245,15416,2,391028,32994,13242,2,720728,938,201,0,162110,458,50,0,1
Maracujá,Agricultura,131820,19326,8992,1,101639,15997,7593,1,327687,44101,6598,0,227083,35984,4898,0,1
Mudas de cacau,Agricultura,1863,5,0,0,1490,5,0,0,1635,1,0,0,947,1,0,0,0
Mudas de café,Agricultura,1006,30,6,0,718,25,6,0,85210,660,0,0,23782,309,0,0,0
Mudas de caju,Agricultura,555,3,0,0,394,2,0,0,21314,1,0,0,619,0,0,0,0
Mudas de coco-da-baía,Agricultura,804,9,0,0,584,5,0,0,3145,100,0,0,620,39,0,0,0
"Mudas de frutas cítricas (laranja, limão, tangerina, etc.)",Agricultura,1434,121,68,0,1044,97,55,0,51391,3517,1557,0,11333,1325,1212,0,0
Mudas de mamão,Agricultura,758,16,6,0,532,10,4,0,2403,1,0,0,311,1,0,0,0
Mudas de outros produtos da lavoura permanente,Agricultura,2217,253,110,1,1661,198,94,1,342425,16936,9925,0,39145,7807,3741,0,0
Mudas de uva,Agricultura,329,147,80,0,228,120,70,0,47653,42628,42197,0,39890,39661,39525,0,0
Nectarina,Agricultura,7346,6936,2742,0,5933,5717,2292,0,5694,3963,876,0,2407,2273,686,0,1
Nêspera,Agricultura,9156,7995,4969,0,7427,6702,4255,0,5290,150,65,0,2607,89,15,0,1
"Noz (europeia, pecã)",Agricultura,19226,19080,14783,4,15820,15738,12266,0,22439,20958,18599,0,5067,5066,4271,0,0
Outros produtos,Agricultura,62537,3910,2155,0,48113,3072,1761,0,106508,24205,2971,0,33569,5681,2316,0,0
Palmito,Agricultura,15956,5805,247,0,11164,3979,224,0,149966,72613,53,0,58647,29453,53,0,0
Pera,Agricultura,71130,67237,51238,16,60166,57748,44480,13,16927,16130,9345,0,6135,5465,4069,0,1
Pêssego,Agricultura,161082,149352,99057,28,136023,128080,86354,23,164891,133607,106545,31,102792,95516,80608,0,1
Pimenta-do-reino,Agricultura,41795,637,297,0,34708,520,256,0,427904,3,0,0,276091,0,0,0,0
Pitaia,Agricultura,3087,1216,650,0,2130,961,534,0,7339,2232,311,0,4679,2033,247,0,0
Pitanga,Agricultura,75843,44517,29175,2,59860,37653,25166,1,359,11,11,0,54,4,3,0,1
Pupunha (cacho frutos),Agricultura,25344,194,32,0,21944,152,29,0,13703,148,0,0,8975,111,0,0,0
Romã,Agricultura,42367,12492,8190,0,32385,10251,6834,0,1158,134,2,0,303,14,1,0,1
"Tangerina, bergamota, mexerica",Agricultura,331677,179986,123834,63,265971,153265,107090,47,282664,85700,67184,45,134887,64469,49004,13,1
Urucum (semente),Agricultura,73343,1158,170,0,59393,860,148,0,69728,5108,0,0,50212,2910,0,0,0
Uva (mesa),Agricultura,73864,56874,37274,6,60476,48764,32481,3,1026009,108476,56114,0,228899,86138,44844,0,1
Uva (vinho ou suco),Agricultura,35232,32580,26922,2,30002,28126,23415,1,938879,901885,854841,0,726108,723825,688143,0,1
Abacaxi,Agricultura,53128,2325,1137,,45413,1963,986,0,665463,9679,5083,,446138,6799,3351,,1
"Abóbora, moranga, jerimum",Agricultura,273451,72585,53622,59,223726,62842,47276,41,209651,31785,11916,20,114512,22119,9912,16,1
Algodão herbáceo,Agricultura,3224,8,,,2321,6,0,0,5280941,188,,,4540,,,,0
Alho,Agricultura,40722,28833,22279,1,35346,25820,20176,1,712206,161814,63613,,111044,86153,39563,,1
Amendoim em casca,Agricultura,59207,28943,21165,2,50558,26102,19394,1,552073,7850,1843,,44676,2918,1729,,0
Arroz em casca,Agricultura,179881,19743,9271,258,152559,13782,4846,35,7580948,6484349,5741023,326224,763570,669073,328077,10514,0
Aveia branca em grão,Agricultura,15211,14754,11489,4,10018,9881,8082,0,164549,150706,100897,127,18020,17349,13959,,0
Batata-inglesa,Agricultura,35172,29352,20264,4,30633,25984,18357,3,1663102,542006,271051,1,182285,62606,27645,,1
Cana forrageira,Agricultura,73627,12384,7435,2,54184,10421,6420,2,172890,11905,544,,37443,1877,499,,0
Cana-de-açúcar,Agricultura,171348,44904,31070,,134791,39707,28261,0,38743972,2078108,26932,,893432,66032,20663,,0
Cebola,Agricultura,54108,43528,31553,4,47048,38755,28271,3,494664,235937,38117,0,255745,191213,32662,,1
Centeio em grão,Agricultura,142,100,63,,65,35,18,0,1333,1328,777,,136,131,30,,0
Cevada em casca,Agricultura,1988,1947,1672,,1109,1107,1069,0,139300,128047,49680,,14044,14044,13524,,0
Colza (canola),Agricultura,399,399,386,,202,202,197,0,18476,18476,17751,,3390,3390,3254,,0
Ervilha em grão,Agricultura,2131,1764,1399,,1803,1503,1217,0,5730,1068,1005,,994,211,152,,0
Fava em grão,Agricultura,156792,284,237,,129879,238,205,0,7907,22,9,,6848,22,9,,0
Feijão de cor em grão,Agricultura,315323,24299,5509,3,254083,19644,4949,2,2294108,393742,23111,,210328,57164,1266,,0
Feijão fradinho em grão,Agricultura,932947,969,365,4,755150,803,324,3,454758,3836,1807,0,84068,589,79,,0
Feijão preto em grão,Agricultura,235163,172634,93737,2,201845,150842,84343,2,653468,567429,82246,,247710,226940,35296,,0
Feijão verde,Agricultura,204738,1853,918,,167886,1519,791,0,81457,3831,285,,39693,663,186,,0
Forrageiras para corte,Agricultura,59886,8751,4684,5,43181,7106,3980,2,103037,48203,23328,,48393,31322,14698,,0
Fumo em folha seca,Agricultura,106872,92679,51508,,101528,88984,49593,0,4916731,4851340,2374285,,4608659,4592857,2263801,,0
Gergelim (semente),Agricultura,3507,23,4,,2871,17,4,0,7629,5,0,,747,0,0,,0
Girassol (semente),Agricultura,512,122,75,,258,81,47,0,74777,3777,3714,,1180,215,203,,0
Juta (fibra),Agricultura,23,3,2,,18,3,2,0,152,3,,,92,3,,,0
Linho (fibra),Agricultura,87,83,82,,55,52,51,0,2476,2470,2470,,575,569,569,,0
Malva (fibra),Agricultura,1378,29,14,,1305,23,10,0,8266,3,0,,7976,3,0,,0
Mamona,Agricultura,14929,16,8,,11836,13,7,0,27355,2,1,,20094,2,,,0
"Mandioca (aipim, macaxeira)",Agricultura,974211,221474,131164,146,829062,191196,116166,116,2274185,743122,83101,139,1446089,386739,75365,108,1
Melancia,Agricultura,150211,22070,15984,41,124334,19212,14021,33,403008,99591,78595,307,187148,43620,29127,296,1
Melão,Agricultura,25126,12987,10526,16,21243,11406,9269,14,387062,8471,6641,14,24837,6883,5205,,1
Milho em grão,Agricultura,1655450,389035,180010,153,1342955,327235,158277,112,24855395,6009543,1554780,5047,2417199,1513455,464184,222,0
Milho forrageiro,Agricultura,267520,122586,59694,27,215681,108576,53568,11,543811,153454,62832,777,232667,100250,41031,117,0
Outros produtos,Agricultura,25331,7718,4196,4,20080,6008,3203,2,296159,100361,53282,2,98425,44764,18301,,0
Palma forrageira,Agricultura,129543,5,1,,106865,5,1,0,63248,406,,,52069,406,,,0
Rami (fibra),Agricultura,34,3,2,,23,2,2,0,10,,,,4,,,,0
Sementes de algodão (produzidas para plantio),Agricultura,20,,,,18,0,0,0,461,,,,0,,,,0
Sementes de arroz (produzidas para plantio),Agricultura,293,189,32,,210,121,10,0,44081,41368,26682,,7736,7483,304,,0
Sementes de batata-inglesa (produzidas para plantio),Agricultura,119,69,37,,87,48,33,0,25934,25678,672,,637,521,69,,0
Sementes de feijão (produzidas para plantio),Agricultura,2328,207,136,,1871,169,112,0,11420,1774,460,,398,147,4,,0
Sementes de forrageiras (produzidas para plantio),Agricultura,1666,789,452,3,1054,547,278,0,285497,12425,9223,398,25732,2072,1427,,0
Sementes de milho (produzidas para plantio),Agricultura,1807,196,129,,1354,152,99,0,400423,22982,17169,,4409,587,85,,0
