Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar
Arroz em casca,Agricultura,179881,19743,9271,258,152559,13782,4846,35,7580948,6484349,5741023,326224,763570,669073,328077,10514
Aveia branca em grão,Agricultura,15211,14754,11489,4,10018,9881,8082,0,164549,150706,100897,127,18020,17349,13959,
Batata-inglesa,Agricultura,35172,29352,20264,4,30633,25984,18357,3,1663102,542006,271051,1,182285,62606,27645,
Cana forrageira,Agricultura,73627,12384,7435,2,54184,10421,6420,2,172890,11905,544,,37443,1877,499,
Cana-de-açúcar,Agricultura,171348,44904,31070,,134791,39707,28261,0,38743972,2078108,26932,,893432,66032,20663,
Cebola,Agricultura,54108,43528,31553,4,47048,38755,28271,3,494664,235937,38117,0,255745,191213,32662,
Centeio em grão,Agricultura,142,100,63,,65,35,18,0,1333,1328,777,,136,131,30,
Cevada em casca,Agricultura,1988,1947,1672,,1109,1107,1069,0,139300,128047,49680,,14044,14044,13524,
Colza (canola),Agricultura,399,399,386,,202,202,197,0,18476,18476,17751,,3390,3390,3254,
Ervilha em grão,Agricultura,2131,1764,1399,,1803,1503,1217,0,5730,1068,1005,,994,211,152,
Fava em grão,Agricultura,156792,284,237,,129879,238,205,0,7907,22,9,,6848,22,9,
Feijão de cor em grão,Agricultura,315323,24299,5509,3,254083,19644,4949,2,2294108,393742,23111,,210328,57164,1266,
Feijão fradinho em grão,Agricultura,932947,969,365,4,755150,803,324,3,454758,3836,1807,0,84068,589,79,
Feijão preto em grão,Agricultura,235163,172634,93737,2,201845,150842,84343,2,653468,567429,82246,,247710,226940,35296,
Feijão verde,Agricultura,204738,1853,918,,167886,1519,791,0,81457,3831,285,,39693,663,186,
Forrageiras para corte,Agricultura,59886,8751,4684,5,43181,7106,3980,2,103037,48203,23328,,48393,31322,14698,
Fumo em folha seca,Agricultura,106872,92679,51508,,101528,88984,49593,0,4916731,4851340,2374285,,4608659,4592857,2263801,
Gergelim (semente),Agricultura,3507,23,4,,2871,17,4,0,7629,5,0,,747,0,0,
Girassol (semente),Agricultura,512,122,75,,258,81,47,0,74777,3777,3714,,1180,215,203,
Juta (fibra),Agricultura,23,3,2,,18,3,2,0,152,3,,,92,3,,
Linho (fibra),Agricultura,87,83,82,,55,52,51,0,2476,2470,2470,,575,569,569,
Malva (fibra),Agricultura,1378,29,14,,1305,23,10,0,8266,3,0,,7976,3,0,
Mamona,Agricultura,14929,16,8,,11836,13,7,0,27355,2,1,,20094,2,,
"Mandioca (aipim, macaxeira)",Agricultura,974211,221474,131164,146,829062,191196,116166,116,2274185,743122,83101,139,1446089,386739,75365,108
Melancia,Agricultura,150211,22070,15984,41,124334,19212,14021,33,403008,99591,78595,307,187148,43620,29127,296
Melão,Agricultura,25126,12987,10526,16,21243,11406,9269,14,387062,8471,6641,14,24837,6883,5205,
Milho em grão,Agricultura,1655450,389035,180010,153,1342955,327235,158277,112,24855395,6009543,1554780,5047,2417199,1513455,464184,222
Milho forrageiro,Agricultura,267520,122586,59694,27,215681,108576,53568,11,543811,153454,62832,777,232667,100250,41031,117
Outros produtos,Agricultura,25331,7718,4196,4,20080,6008,3203,2,296159,100361,53282,2,98425,44764,18301,
Palma forrageira,Agricultura,129543,5,1,,106865,5,1,0,63248,406,,,52069,406,,
Rami (fibra),Agricultura,34,3,2,,23,2,2,0,10,,,,4,,,
Sementes de algodão (produzidas para plantio),Agricultura,20,,,,18,0,0,0,461,,,,0,,,
Sementes de arroz (produzidas para plantio),Agricultura,293,189,32,,210,121,10,0,44081,41368,26682,,7736,7483,304,
Sementes de batata-inglesa (produzidas para plantio),Agricultura,119,69,37,,87,48,33,0,25934,25678,672,,637,521,69,
Sementes de feijão (produzidas para plantio),Agricultura,2328,207,136,,1871,169,112,0,11420,1774,460,,398,147,4,
Sementes de forrageiras (produzidas para plantio),Agricultura,1666,789,452,3,1054,547,278,0,285497,12425,9223,398,25732,2072,1427,
Sementes de milho (produzidas para plantio),Agricultura,1807,196,129,,1354,152,99,0,400423,22982,17169,,4409,587,85,
